,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,URL: ,Warning Codes: 
21,05/20/2021,05/20/2021,Big Chief Vapor Products LLC,Center for Tobacco ProductsVIA UPS,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
22,05/21/2021,05/21/2021,Vape Lizard E-Juice LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
23,05/25/2021,05/14/2021,Adirondack Juice LLC d/b/a Adirondack Vapor & Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
24,05/25/2021,05/19/2021,Smart Women's Choice,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,
25,05/25/2021,05/10/2021,Great Lakes Gelatin Company,Office of Human and Animal Food Operations East-VI,New Drug/Misbranded,,11/05/2021,,
26,05/25/2021,04/29/2021,Africana Market LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
27,05/25/2021,05/14/2021,Blue Eyed Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/03/2022,,
28,05/25/2021,05/13/2021,Biotek India,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
29,05/26/2021,05/20/2021,"NS Products, Inc.",Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,
30,05/26/2021,05/20/2021,Fertility Nutraceuticals LLC,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,
31,05/26/2021,05/20/2021,EU Natural Inc.,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,
32,05/26/2021,05/20/2021,LeRoche Benicoeur dba ConceiveEasy,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,
33,05/26/2021,05/20/2021,Sal Nature LLC/FertilHerb,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,
34,05/27/2021,05/21/2021,Premium eJuice USA LLC d/b/a Vapor Lab,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
35,05/27/2021,05/27/2021,"Nicfixed, LLC d/b/a Good Karma Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
36,05/27/2021,05/21/2021,"Nelson Endeavors, LLC d/b/a Liberty Vape Co.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
37,05/27/2021,05/21/2021,Soul Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
38,05/27/2021,05/21/2021,Capitol Hill Vapor Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
39,05/28/2021,05/27/2021,OCLO LLC/OCLO Nanotechnology Science,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
40,05/28/2021,05/28/2021,MJM Distribution Inc dba Asheville Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/30/2021,,
41,06/01/2021,05/18/2021,Lux Commercial Group LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,07/14/2022,,
42,06/01/2021,05/27/2021,"Incredible Products, SA de CV",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
43,06/01/2021,05/11/2021,Utah Cord Bank LLC,Office Biological Products Operations – Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
44,06/01/2021,02/19/2021,"Richardson Nutritional Center, LLC/Nutriseeds, Inc.",Office of Human and Animal Food Operations-West Division 5,New Drug/Misbranded,,,,
45,06/01/2021,05/10/2021,DeChoker LLC,"Office of Medical Device and Radiological Health, Division 3",CGMP/QSR/Medical Devices/Adulterated,,,,
46,06/01/2021,05/18/2021,MnM Spices Corporation,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
47,06/03/2021,06/03/2021,The Vapor Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
48,06/03/2021,06/03/2021,Tiger Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov//inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tiger-vapes-647668-01122023,[]
49,06/08/2021,06/02/2021,PurePurge Inc.,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,
50,06/08/2021,05/11/2021,Kareem Mart Inc.,Div ision of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
51,06/08/2021,06/03/2021,"DMM Vission, S.A. de C.V.",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
52,06/08/2021,03/02/2021,Red's Kitchen Sink at Bourbon Street Ice,Office of Human and Animal Food Operations – East Division 3,New Drug/Misbranded,,,,
53,06/08/2021,05/24/2021,Everything Health LLC,Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019(COVID-19),,,,
54,06/08/2021,05/24/2021,"Beauty & Spa Concepts, DBA Beenefits",Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
55,06/10/2021,06/10/2021,"Innova Medical Group, Inc.",Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,10/25/2022,,
56,06/15/2021,06/14/2021,E-Vaperz Spring Hill Location LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
57,06/15/2021,06/14/2021,Vape E's Ltd,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
58,06/15/2021,06/14/2021,Lincoln Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
59,06/15/2021,06/01/2021,"Market of Choice, LLC",Office of Human and Animal Food Operations – West Division 6,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,
60,06/22/2021,05/18/2021,Umbrella,Division of Pharmaceutical Quality Operations IV,Dietary Supplement/Misbranded,,,,
61,06/22/2021,04/15/2021,"Molecular BioLife International, Inc.",Office of Human and Animal Foods West Division II,New Drug/Misbranded,,,,
62,06/22/2021,05/27/2021,Fresh Nutrition Inc,Office of Human and Animal Food Operations –West Division 5,Unapproved New Drugs/Misbranded,,,,
63,06/22/2021,04/15/2021,Daisy Global Trading Co,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
64,06/22/2021,06/08/2021,Jaramillo Spices Corp.,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
65,06/22/2021,06/16/2021,Pure Vapor USA LP,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
66,06/22/2021,04/09/2021,Mr Lukas LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
67,06/22/2021,04/21/2021,DRF LLC,Office of Human and Animal Foods Operations- West Division,New Drug/Misbranded,,,,
68,06/22/2021,06/09/2021,Tuty Usa LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
69,06/23/2021,06/22/2021,Pacific Center of Health/Pacific Center of Health & Acupuncture,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
70,06/24/2021,06/23/2021,Custom Vapors Inc d/b/a VIP Custom Vapors/Premier Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
71,06/29/2021,06/23/2021,"Great Healthworks, Inc.","Office of Human and Animal Food Operations, Division IV East",Unapproved New Drugs/Misbranded,,02/02/2022,,
72,06/29/2021,06/17/2021,International General Trading Corp.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
73,06/29/2021,06/08/2021,"STB Quarters, LLC",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
74,06/29/2021,06/21/2021,IDC USA INC,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
75,06/29/2021,06/07/2021,Flora Inc,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,,,
76,06/29/2021,05/26/2021,"JLM Nutritionals, Inc. dba JLM Nutrition—Super Naturals Health",Office of Human and Animal Food Operations- West Division 5,New Drug/Misbranded,,,,
77,06/29/2021,06/17/2021,"Aquavit Pharmaceuticals, Inc",Office of Medical Device and Radiological Health Division 1 – East,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,,
78,06/29/2021,06/11/2021,"Novel Laboratories, Inc. d.b.a LUPIN",Office of Pharmaceutical Quality Operations Division I,CGMP/Finished Pharmaceuticals/Adulterated,,,,
79,06/30/2021,06/30/2021,TNT Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
80,06/30/2021,06/30/2021,Tasty Vape Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
81,05/12/2020,05/04/2020,Indus Medicare Limited,Center for Devices and Radiological Health,Quality System Regulation for Medical Device Reporting/Adulterated/Misbranded,,02/14/2022,,
82,07/06/2021,06/07/2021,"Amplicon Land, LLC",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
83,03/16/2021,03/11/2021,"Shenzhen Weifa Technology Co., Ltd",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,09/27/2021,,
84,07/06/2021,04/13/2021,"Manhattan Stitching Company, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,10/04/2021,,
85,07/06/2021,05/28/2021,Nature’s Distributing; Club Clean Inc/BuyMedicalMasksNow.com,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,10/04/2021,,
86,07/06/2021,06/25/2021,Davati Medical Supply LLC,Center for Biologics Evaluation and Research,Unapproved and Misbranded Product Related to Influenza Virus,,10/14/2021,,
87,07/06/2021,06/28/2021,Fixture Display LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/04/2021,,
88,07/06/2021,03/11/2021,maskshell.com,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,,,
89,07/06/2021,04/27/2021,Professional World Store,Center for Devices and Radiological Health,Premarket Approval/Misbranded,,10/04/2021,,
90,07/06/2021,06/04/2021,"Zhejiang Xichen Medical Technology Co., Ltd.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,,
91,07/06/2021,05/27/2021,"Irvin, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,09/27/2021,,
92,07/06/2021,04/26/2021,BMHshop,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,,,
93,07/06/2021,05/07/2021,"Nikkiso Medical America, Inc",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,,,
94,07/06/2021,05/27/2021,"Dongguan City Xinyuan Nonwoven Co., Ltd.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/04/2021,,
95,07/06/2021,06/28/2021,"World Packaging Solutions, LLC",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/07/2021,,
96,07/06/2021,05/21/2021,Mask Supply Store,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/05/2021,,
97,06/29/2021,06/25/2021,Wyo Witches Brew LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
98,07/12/2021,07/07/2021,"Halodine, LLC",Center for Drug Evaluation and Research,Unapproved New Drug Products Related to Coronavirus Disease 2019 (COVID-19),,,,
99,07/13/2021,07/01/2021,"Biomedical Research Laboratories, LLC",Office of Human and Animal Food Operations –West Division 5,New Drug/Misbranded,,,,
100,07/13/2021,06/29/2021,Kuiyi International Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,
101,07/13/2021,06/10/2021,"Natural Hope Herbals, LLC",Division of Human and Animal Food Operations East II,New Drug/Misbranded,,,,
102,07/13/2021,06/15/2021,Rong Shing Trading NY Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
103,07/13/2021,07/06/2021,"Guangzhou Minghui Cosmetics Co., Ltd.",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
104,07/13/2021,06/08/2021,"Sobh Import, Inc.",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
105,07/13/2021,07/01/2021,Dream Pharmacy 24/7 Enterprises Limited 2018,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
106,07/13/2021,07/01/2021,"Phoenix Nutritionals, Inc.",Office of Human and Animal Food Operations-West Division 5,New Drug/Misbranded,,,,
107,07/16/2021,07/16/2021,Vapor State LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
108,07/16/2021,07/16/2021,Rave Salon Inc. d/b/a Joosie Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
109,07/16/2021,07/16/2021,Vaporistic Bayville,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
110,08/27/2019,08/15/2019,"Shang Jiuan Co., LTD",Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,07/21/2021,,
111,07/20/2021,06/30/2021,Dry Produce Division USA LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
112,07/20/2021,07/07/2021,"Panjin Hetian Food Co., Ltd.",Center for Food Safety and Applied Nutrition,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated  ",,,,
113,07/20/2021,07/08/2021,Delta Kozmetik Sanayi Ve Ticaret-Selim Yesil,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,,,
114,07/20/2021,06/25/2021,Guillermo Osuna,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
115,07/21/2021,07/20/2021,Jordan’s Crossing Herbal Connections,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
116,07/22/2021,07/22/2021,K&D Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
117,07/23/2021,07/23/2021,Vapor Amor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
118,07/27/2021,07/15/2021,"Sck Zeta Dis Ticaret, Pazarlama Ltd.",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,
119,07/27/2021,06/08/2021,South Florida Import & Export Corp,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
120,07/28/2021,07/28/2021,"Visible Vapors, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/07/2022,,
121,07/23/2021,07/23/2021,Trekker Vapors LLP,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
122,07/29/2021,07/20/2021,rxmedkart.com,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
123,07/29/2021,07/22/2021,"MB Solutions, LLC/BioSpectrum CBD",Center for Drug Evaluation and Research,Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products,,,,
124,07/30/2021,07/30/2021,The Vapor Hutt,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
125,07/30/2021,07/30/2021,Bradley Jaramillo LLC d/b/a Trinity Vapor Lounge,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
126,08/03/2021,07/06/2021,Syntec Pharma Corp,Office of Pharmaceutical Quality Operations Division I,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,
127,08/03/2021,07/29/2021,Farmakeio Outsourcing LLC,"Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,,,
128,08/03/2021,07/20/2021,"2m Associates, Inc.",Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,04/19/2022,,
129,08/03/2021,06/30/2021,Green City Distribution,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
130,08/04/2021,08/03/2021,Blue Willow Biologics,Center for Drug Evaluation and Research,Unapproved New Drug Products Related to Coronavirus Disease 2019 (COVID-19),,,,
131,08/05/2021,08/05/2021,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
132,08/05/2021,08/05/2021,Staccato Ventures LLC d/b/a Carolina Vape Kings,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
133,08/04/2021,07/28/2021,"Dr. Thomas Polucki Upper Cervical Chiropractic, Inc.",Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
134,08/10/2021,07/12/2021,Acme Smoked Fish Corp.,Office of Human and Animal Food Operations - East Division 1,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,,
135,08/10/2021,07/02/2021,Captain's Cloth LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,10/07/2021,,
136,08/10/2021,07/27/2021,"Sanit Technologies, LLC dba Durisan","Office of Pharmaceutical Quality Operations, Division II",CGMP/Finished Pharmaceuticals/Adulterated,,,,
137,08/10/2021,07/09/2021,Biopolygen Corp.,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
138,08/10/2021,08/04/2021,BBC Group Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,
139,08/10/2021,07/20/2021,Chill6,Office of Human and Animal Food Operations East – Division 1,Unapproved New Drugs/Misbranded,,,,
140,08/10/2021,07/29/2021,"Lepu Medical Technology -Beijing- Co., Ltd.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
141,08/10/2021,07/08/2021,"3RD Day Nutraceuticals, LLC",Office of Human and Animal Food Operations East – Division 1,New Drug/Misbranded,,,,
142,08/10/2021,08/06/2021,Nuvo Silver Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
143,08/10/2021,07/26/2021,"Vivera Pharmaceuticals, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
144,08/10/2021,07/09/2021,"USH Diagnostics, Inc./covidinstanttest.net",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
145,08/10/2021,07/26/2021,"Vivera Pharmaceuticals, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
146,08/10/2021,07/13/2021,"Sayar Food Market, Inc.",Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,
147,08/10/2021,08/06/2021,Ballistic Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
148,08/10/2021,08/10/2021,Vaperz Cedar Park,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
149,08/11/2021,08/10/2021,Secret of the Islands,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
150,08/12/2021,08/12/2021,"D & C Beckley, Inc d/b/a Kickin’ Ash Vapors",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
151,08/12/2021,08/12/2021,"D&C Beckley, Inc d/b/a Kickin’ Ash Vapors",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
152,08/16/2021,08/16/2021,Vape King Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov//inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vape-king-inc-646625-12152022,[]
153,08/16/2021,08/16/2021,Vape King Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov//inspections-compliance-enforcement-and-criminal-investigations/warning-letters/vape-king-inc-646625-12152022,[]
154,08/17/2021,07/16/2021,"Transu Investment Group, LLC",Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
155,08/17/2021,07/29/2021,1st Phorm LLC,Office of Human and Animal Food West Division II,Unapproved New Drugs/Misbranded,,02/15/2022,,
156,08/17/2021,08/10/2021,Tropicosmeticos SA de CV,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,
157,08/17/2021,08/03/2021,Productos Bredy USA LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,
158,08/17/2021,08/06/2021,Maitland Labs of Central Florida,"Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,,,
159,08/17/2021,08/13/2021,MadTown Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
160,08/17/2021,07/22/2021,YemenUSA Inc.,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,
161,08/17/2021,08/10/2021,Utah Cord Bank LLC dba Utah Cell Bank,Office of Biological Products Operations - Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,
162,08/17/2021,06/17/2021,"Tianjin Bolang Science-Technology Development Co., Ltd.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,,
163,08/17/2021,08/09/2021,Midwestern Pet Food,Center for Veterinary Medicine,"CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,,
164,08/17/2021,08/17/2021,Broken Coil,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
165,08/17/2021,08/17/2021,T.S.V.L. LLC d/b/a Times Square Vape Lab,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
166,08/17/2021,08/17/2021,Old Pueblo Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
167,08/17/2021,08/17/2021,Escape Vape Lounge,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
168,08/19/2021,08/19/2021,E-Vaped Co,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,
169,08/20/2021,08/19/2021,"Mahita, LLC dba PushMyCart",Center for Drug Evaluation and Research | CDER,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,
170,08/24/2021,06/09/2021,Natural Beauty Care Pty Ltd,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,
171,08/24/2021,08/19/2021,Toyobo Co. Ltd.,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,,,
