,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,URL: ,Warning Codes: ,Letter Content
14,05/18/2021,05/07/2021,JP & SN Enterprises Inc. d/b/a eCigs International,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov//inspections-compliance-enforcement-and-criminal-investigations/warning-letters/jp-sn-enterprises-inc-dba-ecigs-international-647315-12222022,[],"The .gov means it’s official.Federal government websites often end in 
.gov or .mil. Before sharing sensitive information, make sure you're 
on a federal government site. The site is secure. The 
https:// ensures that you are connecting to the official website 
and that any information you provide is encrypted and transmitted 
securely. WARNING LETTER 221 West Germantown Pike East Norriton, PA 
19401 United States United States December 22, 2022WARNING LETTER 


Dear 
Mr. Poole: The Center for Tobacco Products of the U.S. 
Food and Drug Administration (FDA) has reviewed your submissions to 
the FDA and our inspection records, and determined that JP 
& SN Enterprises Inc. d/b/a eCigs International manufactures and distributes 
e-liquid products for commercial distribution in the United States, and 
that the e-liquid products are manufactured and offered for sale 
or distribution to customers in the United States. Under section 
201(rr) of the Federal Food, Drug, and Cosmetic Act (FD&C 
Act) (21 U.S.C. § 321(rr)), these products are tobacco products 
because they are made or derived from tobacco or contain 
nicotine from any source, and intended for human consumption. Certain 
tobacco products, including e-liquid products, are subject to FDA jurisdiction 
under section 901(b) of the FD&C Act (21 U.S.C. § 
387a(b)) and 21 C.F.R. § 1100.1, and are required to 
be in compliance with the requirements in the FD&C Act. 
Please be aware that, on March 15, 2022, the President 
signed legislation to amend the FD&C Act to extend FDA’s 
jurisdiction to products “containing nicotine from any source,” not just 
nicotine derived from tobacco. See Consolidated Appropriations Act, 2022, Public 
Law 117-103, Division P, Title I, Subtitle B. Specifically, this 
legislation expanded the definition of “tobacco product” under section 201(rr) 
of the FD&C Act (21 U.S.C. § 321(rr)) to include 
products containing nicotine from any source. Tobacco products, including e-liquid 
products, containing nicotine from any source, must be in compliance 
with the FD&C Act and its implementing regulations. For more 
information, please see https://www.fda.gov/tobacco-products/ctp-newsroom/requirements-products-made-non-tobacco-nicotine-take-effect-april-14. Generally, to be legally marketed in 
the United States, the FD&C Act requires “new tobacco products” 
to have a premarket authorization in effect. A “new tobacco 
product” is any tobacco product that was not commercially marketed 
in the United States as of February 15, 2007, or 
any modified tobacco product that was commercially marketed after February 
15, 2007 (section 910(a) of the FD&C Act; 21 U.S.C. 
§ 387j(a)). Generally, a marketing authorization order under section 910(c)(1)(A)(i) 
of the FD&C Act (21 U.S.C. § 387j(c)(1)(A)(i)) is required 
for a new tobacco product unless (1) the manufacturer of 
the product submitted a report under section 905(j) of the 
FD&C Act (21 U.S.C. § 387e(j)) and FDA issues an 
order finding the product substantially equivalent to a predicate tobacco 
product (section 910(a)(2)(A) of the FD&C Act) or (2) the 
manufacturer submitted a report under section 905(j)(1)(A)(ii) of the FD&C 
Act (21 U.S.C. § 387e(j)(1)(A)(ii)) and all modifications are covered 
by exemptions from the requirements of substantial equivalence granted by 
FDA under section 905(j)(3) of the FD&C Act (21 U.S.C. 
§ 387e(j)(3)). A New Tobacco Product Without Required Marketing Authorization 
Is Adulterated and Misbranded FDA has determined that you manufacture, 
sell, and/or distribute to customers in the United States ZEN 
JUICE Absalom e-liquid product without a marketing authorization order. The 
e-liquid product listed above is a new tobacco product because 
it was not commercially marketed in the United States as 
of February 15, 2007. This product does not have an 
FDA marketing authorization order in effect under section 910(c)(1)(A)(i) of 
the FD&C Act and is not otherwise exempt from the 
marketing authorization requirement. Therefore, this product is adulterated under section 
902(6)(A) of the FD&C Act (21 U.S.C. § 387b(6)(A)). In 
addition, it is misbranded under section 903(a)(6) of the FD&C 
Act (21 U.S.C. § 387c(a)(6)) because a notice or other 
information respecting this product was not provided as required by 
section 905(j) of the FD&C Act. The doing of any 
act with respect to a tobacco product while such article 
is held for sale after shipment in interstate commerce which 
results in such product being adulterated or misbranded is a 
prohibited act under section 301(k) of the FD&C Act (21 
U.S.C. § 331(k)). Additionally, to the extent that a report 
was required under section 905(j) of the FD&C Act, the 
failure to provide such report is a prohibited act under 
section 301(p) of the FD&C Act (21 U.S.C. § 331(p)). 
Conclusion and Requested Actions FDA has not received an application 
from your firm requesting marketing authorization for the product listed 
in this Warning Letter. This product and any other new 
tobacco product on the market without the statutorily required premarket 
authorization are adulterated and misbranded and are subject to enforcement 
action at FDA’s discretion. It is your responsibility to ensure 
that all of your tobacco products comply with each applicable 
provision of the FD&C Act and FDA’s implementing regulations. Failure 
to address any violations of the FD&C Act, 21 U.S.C. 
§ 301 et seq., Chapter IX, relating to tobacco products 
including the tobacco regulations in 21 C.F.R. Parts 1140, 1141, 
and 1143, may lead to regulatory action, including, but not 
limited to, civil money penalties, seizure, and/or injunction. However, this 
Warning Letter does not constitute “written notice” for purposes of 
section 303(f)(9)(B)(i)(II) of the FD&C Act. Please note that tobacco 
products offered for import into the United States that appear 
to be adulterated and/or misbranded may be detained or refused 
admission. The violations discussed in this letter do not necessarily 
constitute an exhaustive list. You should take prompt action to 
address any violations that are referenced above, as well as 
violations that are the same as or similar to the 
ones stated above, and take any necessary actions to bring 
your tobacco products into compliance with the FD&C Act. Please 
submit a written response to this letter within 15 working 
days from the date of receipt describing your actions to 
address any violations and bring your products into compliance, including 
the dates on which you discontinued the violative sale, and/or 
distribution of these tobacco products and your plan for maintaining 
compliance with the FD&C Act. If you believe that your 
products are not in violation of the FD&C Act, include 
your reasoning and any supporting information for our consideration. This 
letter notifies you of our findings and provides you with 
an opportunity to address them. You can find the FD&C 
Act through links on FDA’s homepage at http://www.fda.gov. Please note 
your reference number, ER2200755, in your response and direct your 
response to the following address: DPAL-WL Response, Office of Compliance 
and Enforcement FDA Center for Tobacco Products c/o Document Control 
Center Building 71, Room G335 10903 New Hampshire Avenue Silver 
Spring, MD 20993-000 If you have any questions about the 
content of this letter, please contact CTPCompliance@fda.hhs.gov. 


Sincerely, /S/ Ann 
Simoneau, J.D. Director Office of Compliance and Enforcement Center for 
Tobacco Products cc: Admin@ecigsinternational.com 12/22/2022 More Warning Letters "
15,05/18/2021,04/29/2021,"Wismettac Asian Foods, Inc.",Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
16,05/18/2021,05/07/2021,The Iron Crow LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
17,05/18/2021,05/07/2021,Central Iowa Electronic Cigarettes Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
18,05/18/2021,05/07/2021,Nicotine Nirvana,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/07/2021,,,
19,05/18/2021,05/07/2021,Sema International Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/07/2022,,,
20,05/20/2021,05/19/2021,"BGP, LLC",Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
21,05/20/2021,05/20/2021,Big Chief Vapor Products LLC,Center for Tobacco ProductsVIA UPS,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
22,05/21/2021,05/21/2021,Vape Lizard E-Juice LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
23,05/25/2021,05/14/2021,Adirondack Juice LLC d/b/a Adirondack Vapor & Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
24,05/25/2021,05/19/2021,Smart Women's Choice,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,,
25,05/25/2021,05/10/2021,Great Lakes Gelatin Company,Office of Human and Animal Food Operations East-VI,New Drug/Misbranded,,11/05/2021,,,
26,05/25/2021,04/29/2021,Africana Market LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,,
27,05/25/2021,05/14/2021,Blue Eyed Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/03/2022,,,
28,05/25/2021,05/13/2021,Biotek India,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
29,05/26/2021,05/20/2021,"NS Products, Inc.",Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
30,05/26/2021,05/20/2021,Fertility Nutraceuticals LLC,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
31,05/26/2021,05/20/2021,EU Natural Inc.,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
32,05/26/2021,05/20/2021,LeRoche Benicoeur dba ConceiveEasy,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
33,05/26/2021,05/20/2021,Sal Nature LLC/FertilHerb,Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
34,05/27/2021,05/21/2021,Premium eJuice USA LLC d/b/a Vapor Lab,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
35,05/27/2021,05/27/2021,"Nicfixed, LLC d/b/a Good Karma Vapor",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
36,05/27/2021,05/21/2021,"Nelson Endeavors, LLC d/b/a Liberty Vape Co.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
37,05/27/2021,05/21/2021,Soul Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
38,05/27/2021,05/21/2021,Capitol Hill Vapor Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
39,05/28/2021,05/27/2021,OCLO LLC/OCLO Nanotechnology Science,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
40,05/28/2021,05/28/2021,MJM Distribution Inc dba Asheville Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,07/30/2021,,,
41,06/01/2021,05/18/2021,Lux Commercial Group LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,07/14/2022,,,
42,06/01/2021,05/27/2021,"Incredible Products, SA de CV",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
43,06/01/2021,05/11/2021,Utah Cord Bank LLC,Office Biological Products Operations – Division 2,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,,
44,06/01/2021,02/19/2021,"Richardson Nutritional Center, LLC/Nutriseeds, Inc.",Office of Human and Animal Food Operations-West Division 5,New Drug/Misbranded,,,,,
45,06/01/2021,05/10/2021,DeChoker LLC,"Office of Medical Device and Radiological Health, Division 3",CGMP/QSR/Medical Devices/Adulterated,,,,,
46,06/01/2021,05/18/2021,MnM Spices Corporation,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,,
47,06/03/2021,06/03/2021,The Vapor Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
48,06/03/2021,06/03/2021,Tiger Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov//inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tiger-vapes-647668-01122023,[],"The .gov means it’s official.Federal government websites often end in 
.gov or .mil. Before sharing sensitive information, make sure you're 
on a federal government site. The site is secure. The 
https:// ensures that you are connecting to the official website 
and that any information you provide is encrypted and transmitted 
securely. WARNING LETTER 425 North Colorado Street Ulysses, KS 67880 
United States United States January 12, 2023 WARNING LETTER 


Dear 
Mr. Heinrichs: The Center for Tobacco Products of the U.S. 
Food and Drug Administration (FDA) has reviewed your submissions to 
the FDA and our inspection records, and determined that Tiger 
Vapes manufactures and distributes e-liquid products for commercial distribution in 
the United States, and that the e-liquid products are manufactured 
and offered for sale or distribution to customers in the 
United States. Under section 201(rr) of the Federal Food, Drug, 
and Cosmetic Act (FD&C Act) (21 U.S.C. § 321(rr)), these 
products are tobacco products because they are made or derived 
from tobacco or contain nicotine from any source, and intended 
for human consumption. Certain tobacco products, including e-liquid products, are 
subject to FDA jurisdiction under section 901(b) of the FD&C 
Act (21 U.S.C. § 387a(b)) and 21 C.F.R. § 1100.1, 
and are required to be in compliance with the requirements 
in the FD&C Act. Please be aware that, on March 
15, 2022, the President signed legislation to amend the FD&C 
Act to extend FDA’s jurisdiction to products “containing nicotine from 
any source,” not just nicotine derived from tobacco. See Consolidated 
Appropriations Act, 2022, Public Law 117-103, Division P, Title I, 
Subtitle B. Specifically, this legislation expanded the definition of “tobacco 
product” under section 201(rr) of the FD&C Act (21 U.S.C. 
§ 321(rr)) to include products containing nicotine from any source. 
Tobacco products, including e-liquid products, containing nicotine from any source, 
must be in compliance with the FD&C Act and its 
implementing regulations. For more information, please see https://www.fda.gov/tobacco-products/ctp-newsroom/requirements-products-made-non-tobacco-nicotine-take-effect-april-14. Generally, to 
be legally marketed in the United States, the FD&C Act 
requires “new tobacco products” to have a premarket authorization in 
effect. A “new tobacco product” is any tobacco product that 
was not commercially marketed in the United States as of 
February 15, 2007, or any modified tobacco product that was 
commercially marketed after February 15, 2007 (section 910(a) of the 
FD&C Act; 21 U.S.C. § 387j(a)). Generally, a marketing authorization 
order under section 910(c)(1)(A)(i) of the FD&C Act (21 U.S.C. 
§ 387j(c)(1)(A)(i)) is required for a new tobacco product unless 
(1) the manufacturer of the product submitted a report under 
section 905(j) of the FD&C Act (21 U.S.C. § 387e(j)) 
and FDA issues an order finding the product substantially equivalent 
to a predicate tobacco product (section 910(a)(2)(A) of the FD&C 
Act) or (2) the manufacturer submitted a report under section 
905(j)(1)(A)(ii) of the FD&C Act (21 U.S.C. § 387e(j)(1)(A)(ii)) and 
all modifications are covered by exemptions from the requirements of 
substantial equivalence granted by FDA under section 905(j)(3) of the 
FD&C Act (21 U.S.C. § 387e(j)(3)).New Tobacco Products Without Required 
Marketing Authorization Are Adulterated and Misbranded FDA has determined that 
you manufacture, sell, and/or distribute to customers in the United 
States Grape Berries e-liquid products without a marketing authorization order. 
The e-liquid products listed above are new tobacco products because 
they were not commercially marketed in the United States as 
of February 15, 2007. These products do not have FDA 
marketing authorization orders in effect under section 910(c)(1)(A)(i) of the 
FD&C Act and are not otherwise exempt from the marketing 
authorization requirement. Therefore, these products are adulterated under section 902(6)(A) 
of the FD&C Act (21 U.S.C. § 387b(6)(A)). In addition, 
they are misbranded under section 903(a)(6) of the FD&C Act 
(21 U.S.C. § 387c(a)(6)) because a notice or other information 
respecting these products was not provided as required by section 
905(j) of the FD&C Act. The doing of any act 
with respect to a tobacco product while such article is 
held for sale after shipment in interstate commerce which results 
in such product being adulterated or misbranded is a prohibited 
act under section 301(k) of the FD&C Act (21 U.S.C. 
§ 331(k)). Additionally, to the extent that a report was 
required under section 905(j) of the FD&C Act, the failure 
to provide such report is a prohibited act under section 
301(p) of the FD&C Act (21 U.S.C. § 331(p)). Conclusion 
and Requested Actions FDA has not received an application from 
your firm requesting marketing authorization for the products listed in 
this Warning Letter. These products and any other new tobacco 
product on the market without the statutorily required premarket authorization 
are adulterated and misbranded and are subject to enforcement action 
at FDA’s discretion. It is your responsibility to ensure that 
all of your tobacco products comply with each applicable provision 
of the FD&C Act and FDA’s implementing regulations. Failure to 
address any violations of the FD&C Act, 21 U.S.C. § 
301 et seq., Chapter IX, relating to tobacco products including 
the tobacco regulations in 21 C.F.R. Parts 1140, 1141, and 
1143, may lead to regulatory action, including, but not limited 
to, civil money penalties, seizure, and/or injunction. However, this Warning 
Letter does not constitute “written notice” for purposes of section 
303(f)(9)(B)(i)(II) of the FD&C Act. Please note that tobacco products 
offered for import into the United States that appear to 
be adulterated and/or misbranded may be detained or refused admission. 
The violations discussed in this letter do not necessarily constitute 
an exhaustive list. You should take prompt action to address 
any violations that are referenced above, as well as violations 
that are the same as or similar to the ones 
stated above, and take any necessary actions to bring your 
tobacco products into compliance with the FD&C Act. Please submit 
a written response to this letter within 15 working days 
from the date of receipt describing your actions to address 
any violations and bring your products into compliance, including the 
dates on which you discontinued the violative sale, and/or distribution 
of these tobacco products and your plan for maintaining compliance 
with the FD&C Act. If you believe that your products 
are not in violation of the FD&C Act, include your 
reasoning and any supporting information for our consideration. This letter 
notifies you of our findings and provides you with an 
opportunity to address them. You can find the FD&C Act 
through links on FDA’s homepage at http://www.fda.gov. Please note your 
reference number, ER2200761, in your response and direct your response 
to the following address: DEM-WL Response, Office of Compliance and 
Enforcement FDA Center for Tobacco Products c/o Document Control Center 
Building 71, Room G335 10903 New Hampshire Avenue Silver Spring, 
MD 20993-0002 If you have any questions about the content 
of this letter, please contact CTPCompliance@fda.hhs.gov. 


Sincerely, /S/ Ann Simoneau, 
J.D. Director Office of Compliance and Enforcement Center for Tobacco 
Products 01/12/2023 More Warning Letters "
49,06/08/2021,06/02/2021,PurePurge Inc.,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,,
50,06/08/2021,05/11/2021,Kareem Mart Inc.,Div ision of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,,
51,06/08/2021,06/03/2021,"DMM Vission, S.A. de C.V.",Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
52,06/08/2021,03/02/2021,Red's Kitchen Sink at Bourbon Street Ice,Office of Human and Animal Food Operations – East Division 3,New Drug/Misbranded,,,,,
53,06/08/2021,05/24/2021,Everything Health LLC,Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019(COVID-19),,,,,
54,06/08/2021,05/24/2021,"Beauty & Spa Concepts, DBA Beenefits",Center for Food Safety and Applied Nutrition,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
55,06/10/2021,06/10/2021,"Innova Medical Group, Inc.",Center for Devices and Radiological Health,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,10/25/2022,,,
56,06/15/2021,06/14/2021,E-Vaperz Spring Hill Location LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
57,06/15/2021,06/14/2021,Vape E's Ltd,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
58,06/15/2021,06/14/2021,Lincoln Vapor LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
59,06/15/2021,06/01/2021,"Market of Choice, LLC",Office of Human and Animal Food Operations – West Division 6,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,,,
60,06/22/2021,05/18/2021,Umbrella,Division of Pharmaceutical Quality Operations IV,Dietary Supplement/Misbranded,,,,,
61,06/22/2021,04/15/2021,"Molecular BioLife International, Inc.",Office of Human and Animal Foods West Division II,New Drug/Misbranded,,,,,
62,06/22/2021,05/27/2021,Fresh Nutrition Inc,Office of Human and Animal Food Operations –West Division 5,Unapproved New Drugs/Misbranded,,,,,
63,06/22/2021,04/15/2021,Daisy Global Trading Co,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
64,06/22/2021,06/08/2021,Jaramillo Spices Corp.,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
65,06/22/2021,06/16/2021,Pure Vapor USA LP,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
66,06/22/2021,04/09/2021,Mr Lukas LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
67,06/22/2021,04/21/2021,DRF LLC,Office of Human and Animal Foods Operations- West Division,New Drug/Misbranded,,,,,
68,06/22/2021,06/09/2021,Tuty Usa LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,,,
69,06/23/2021,06/22/2021,Pacific Center of Health/Pacific Center of Health & Acupuncture,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
70,06/24/2021,06/23/2021,Custom Vapors Inc d/b/a VIP Custom Vapors/Premier Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
71,06/29/2021,06/23/2021,"Great Healthworks, Inc.","Office of Human and Animal Food Operations, Division IV East",Unapproved New Drugs/Misbranded,,02/02/2022,,,
72,06/29/2021,06/17/2021,International General Trading Corp.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,,
73,06/29/2021,06/08/2021,"STB Quarters, LLC",Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,,,
74,06/29/2021,06/21/2021,IDC USA INC,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,,,
75,06/29/2021,06/07/2021,Flora Inc,Division of Human and Animal Food Operations West VI,New Drug/Misbranded,,,,,
76,06/29/2021,05/26/2021,"JLM Nutritionals, Inc. dba JLM Nutrition—Super Naturals Health",Office of Human and Animal Food Operations- West Division 5,New Drug/Misbranded,,,,,
77,06/29/2021,06/17/2021,"Aquavit Pharmaceuticals, Inc",Office of Medical Device and Radiological Health Division 1 – East,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,,,
78,06/29/2021,06/11/2021,"Novel Laboratories, Inc. d.b.a LUPIN",Office of Pharmaceutical Quality Operations Division I,CGMP/Finished Pharmaceuticals/Adulterated,,,,,
79,06/30/2021,06/30/2021,TNT Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
80,06/30/2021,06/30/2021,Tasty Vape Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
81,05/12/2020,05/04/2020,Indus Medicare Limited,Center for Devices and Radiological Health,Quality System Regulation for Medical Device Reporting/Adulterated/Misbranded,,02/14/2022,,,
82,07/06/2021,06/07/2021,"Amplicon Land, LLC",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
83,03/16/2021,03/11/2021,"Shenzhen Weifa Technology Co., Ltd",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,09/27/2021,,,
84,07/06/2021,04/13/2021,"Manhattan Stitching Company, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,10/04/2021,,,
85,07/06/2021,05/28/2021,Nature’s Distributing; Club Clean Inc/BuyMedicalMasksNow.com,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,10/04/2021,,,
86,07/06/2021,06/25/2021,Davati Medical Supply LLC,Center for Biologics Evaluation and Research,Unapproved and Misbranded Product Related to Influenza Virus,,10/14/2021,,,
87,07/06/2021,06/28/2021,Fixture Display LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/04/2021,,,
88,07/06/2021,03/11/2021,maskshell.com,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,,,,
89,07/06/2021,04/27/2021,Professional World Store,Center for Devices and Radiological Health,Premarket Approval/Misbranded,,10/04/2021,,,
90,07/06/2021,06/04/2021,"Zhejiang Xichen Medical Technology Co., Ltd.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,,,
91,07/06/2021,05/27/2021,"Irvin, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,09/27/2021,,,
92,07/06/2021,04/26/2021,BMHshop,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019,,,,,
93,07/06/2021,05/07/2021,"Nikkiso Medical America, Inc",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,,,,
94,07/06/2021,05/27/2021,"Dongguan City Xinyuan Nonwoven Co., Ltd.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/04/2021,,,
95,07/06/2021,06/28/2021,"World Packaging Solutions, LLC",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/07/2021,,,
96,07/06/2021,05/21/2021,Mask Supply Store,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,10/05/2021,,,
97,06/29/2021,06/25/2021,Wyo Witches Brew LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
98,07/12/2021,07/07/2021,"Halodine, LLC",Center for Drug Evaluation and Research,Unapproved New Drug Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
99,07/13/2021,07/01/2021,"Biomedical Research Laboratories, LLC",Office of Human and Animal Food Operations –West Division 5,New Drug/Misbranded,,,,,
100,07/13/2021,06/29/2021,Kuiyi International Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
101,07/13/2021,06/10/2021,"Natural Hope Herbals, LLC",Division of Human and Animal Food Operations East II,New Drug/Misbranded,,,,,
